symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
cough,Common Cold,heart disease,senior,severe,herbal,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.4,3.8
dizziness,Vertigo,diabetes,adult,moderate,herbal,Meclizine,"Ginger, Ginseng",4.5,4.9
dizziness,Vertigo,allergies,senior,severe,herbal,Meclizine,"Ginger, Bacopa",4.0,3.7
skin rash,Allergic Reaction,allergies,child,moderate,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.1,4.5
anxiety,Generalized Anxiety Disorder,hypertension,senior,moderate,no preference,Alprazolam,"Chamomile, Valerian Root",4.1,4.0
anxiety,Generalized Anxiety Disorder,asthma,adult,severe,no preference,Alprazolam,"L-Theanine, Chamomile",4.8,3.1
muscle pain,Fibromyalgia,no known condition,adult,mild,pharmaceutical,Diclofenac,"Arnica, Eucalyptus Oil",3.6,4.8
stomach pain,Gastritis,allergies,child,mild,herbal,Omeprazole,"Fennel Seeds, Probiotics",3.7,4.4
sore throat,Strep Throat,allergies,child,mild,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.1,4.4
headache,Migraine,hypertension,child,moderate,pharmaceutical,Paracetamol,"Magnesium, Feverfew",3.9,3.9
fatigue,Chronic Fatigue Syndrome,diabetes,adult,moderate,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",4.3,4.3
stomach pain,Gastritis,allergies,senior,severe,no preference,Omeprazole,"Fennel Seeds, Probiotics",4.8,4.6
shortness of breath,Asthma,asthma,child,severe,pharmaceutical,Albuterol,"Quercetin, Yoga",4.8,4.6
anxiety,Generalized Anxiety Disorder,allergies,adult,moderate,herbal,Alprazolam,"Chamomile, L-Theanine",4.7,3.5
headache,Migraine,no known condition,senior,severe,herbal,Paracetamol,"Magnesium, Butterbur",3.6,3.1
skin rash,Allergic Reaction,allergies,adult,moderate,herbal,Antihistamine,"Calendula, Aloe Vera",4.5,3.8
dizziness,Vertigo,obesity,child,mild,pharmaceutical,Meclizine,"Ginseng, Ginger",4.1,4.2
headache,Migraine,hypertension,senior,moderate,herbal,Paracetamol,"Butterbur, Feverfew",3.7,3.3
skin rash,Allergic Reaction,hypertension,adult,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.1,4.7
fever,Viral Infection,no known condition,child,mild,pharmaceutical,Ibuprofen,"Giloy, Tulsi Tea",4.4,3.8
shortness of breath,Asthma,obesity,child,mild,no preference,Albuterol,"Yoga, Deep Breathing",4.1,4.0
sore throat,Strep Throat,allergies,child,severe,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.0,4.7
joint pain,Arthritis,diabetes,child,mild,herbal,Ibuprofen,"Devil’s Claw, Turmeric",4.7,4.4
dizziness,Vertigo,diabetes,adult,moderate,no preference,Meclizine,"Bacopa, Ginseng",3.9,3.6
fever,Viral Infection,diabetes,senior,moderate,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.4,4.2
fatigue,Chronic Fatigue Syndrome,obesity,senior,severe,no preference,Vitamin B12,"Ginseng, Rhodiola",4.0,4.3
skin rash,Allergic Reaction,no known condition,senior,severe,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.5,4.4
nausea,Gastroenteritis,hypertension,adult,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.7,3.9
insomnia,Sleep Disorder,asthma,adult,severe,no preference,Melatonin,"Passionflower, Magnesium",3.9,3.4
muscle pain,Fibromyalgia,hypertension,senior,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.0,4.5
anxiety,Generalized Anxiety Disorder,hypertension,adult,mild,herbal,Alprazolam,"L-Theanine, Chamomile",4.2,4.5
stomach pain,Gastritis,diabetes,child,moderate,no preference,Omeprazole,"Probiotics, Chamomile",3.7,4.5
anxiety,Generalized Anxiety Disorder,heart disease,child,moderate,herbal,Alprazolam,"Valerian Root, Chamomile",4.4,4.2
sore throat,Strep Throat,asthma,child,moderate,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.9,3.2
stomach pain,Gastritis,heart disease,senior,severe,no preference,Omeprazole,"Chamomile, Probiotics",4.4,4.8
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,no preference,Alprazolam,"Chamomile, L-Theanine",4.8,3.5
nausea,Gastroenteritis,no known condition,adult,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Lemon Balm",4.1,4.5
fever,Viral Infection,hypertension,senior,severe,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.1,4.1
stomach pain,Gastritis,diabetes,adult,severe,herbal,Omeprazole,"Chamomile, Fennel Seeds",3.7,3.9
insomnia,Sleep Disorder,asthma,child,mild,herbal,Melatonin,"Lavender Oil, Passionflower",4.4,4.2
fatigue,Chronic Fatigue Syndrome,hypertension,child,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.3,3.0
sore throat,Strep Throat,no known condition,senior,moderate,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.0,4.3
anxiety,Generalized Anxiety Disorder,obesity,adult,moderate,herbal,Alprazolam,"L-Theanine, Valerian Root",3.7,4.6
nausea,Gastroenteritis,no known condition,senior,severe,no preference,Ondansetron,"Ginger, Peppermint Oil",4.1,4.2
skin rash,Allergic Reaction,allergies,adult,severe,no preference,Antihistamine,"Calendula, Oatmeal",4.3,4.6
anxiety,Generalized Anxiety Disorder,allergies,senior,moderate,no preference,Alprazolam,"Chamomile, Valerian Root",4.5,3.4
fatigue,Chronic Fatigue Syndrome,hypertension,child,severe,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.0,3.6
fatigue,Chronic Fatigue Syndrome,no known condition,adult,moderate,no preference,Vitamin B12,"Rhodiola, Ginseng",3.8,3.5
fatigue,Chronic Fatigue Syndrome,hypertension,child,moderate,no preference,Vitamin B12,"Ginseng, Ashwagandha",4.1,3.9
sore throat,Strep Throat,asthma,adult,severe,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.2,3.9
shortness of breath,Asthma,diabetes,adult,mild,no preference,Albuterol,"Yoga, Quercetin",4.7,3.3
joint pain,Arthritis,allergies,child,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",3.9,4.8
joint pain,Arthritis,allergies,child,moderate,pharmaceutical,Ibuprofen,"Boswellia, Turmeric",3.9,4.6
insomnia,Sleep Disorder,hypertension,adult,mild,pharmaceutical,Melatonin,"Magnesium, Passionflower",4.0,5.0
dizziness,Vertigo,no known condition,senior,mild,no preference,Meclizine,"Ginseng, Ginger",4.6,4.9
fever,Viral Infection,asthma,child,severe,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.7,4.6
nausea,Gastroenteritis,obesity,senior,severe,herbal,Ondansetron,"Ginger, Peppermint Oil",3.6,3.5
dizziness,Vertigo,no known condition,adult,severe,pharmaceutical,Meclizine,"Bacopa, Ginger",3.9,4.0
muscle pain,Fibromyalgia,heart disease,adult,moderate,herbal,Diclofenac,"Eucalyptus Oil, Massage Therapy",3.5,4.2
headache,Migraine,obesity,senior,mild,herbal,Paracetamol,"Magnesium, Butterbur",3.9,3.6
insomnia,Sleep Disorder,hypertension,adult,mild,herbal,Melatonin,"Passionflower, Lavender Oil",4.4,3.9
sore throat,Strep Throat,asthma,child,severe,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.1,3.1
fatigue,Chronic Fatigue Syndrome,diabetes,child,moderate,no preference,Vitamin B12,"Ashwagandha, Rhodiola",4.5,3.6
nausea,Gastroenteritis,heart disease,child,severe,no preference,Ondansetron,"Lemon Balm, Ginger",4.3,4.3
muscle pain,Fibromyalgia,obesity,child,mild,herbal,Diclofenac,"Eucalyptus Oil, Arnica",4.9,3.4
fatigue,Chronic Fatigue Syndrome,asthma,senior,severe,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",4.0,3.7
shortness of breath,Asthma,allergies,adult,severe,no preference,Albuterol,"Quercetin, Yoga",3.9,3.5
cough,Common Cold,hypertension,senior,severe,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",5.0,3.4
fever,Viral Infection,diabetes,adult,moderate,no preference,Ibuprofen,"Elderberry, Tulsi Tea",4.8,4.1
headache,Migraine,heart disease,adult,severe,no preference,Paracetamol,"Magnesium, Feverfew",3.6,4.3
stomach pain,Gastritis,heart disease,senior,severe,no preference,Omeprazole,"Chamomile, Fennel Seeds",3.7,4.6
muscle pain,Fibromyalgia,asthma,child,moderate,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.8,4.8
skin rash,Allergic Reaction,no known condition,adult,mild,herbal,Antihistamine,"Calendula, Oatmeal",5.0,3.1
cough,Common Cold,no known condition,senior,mild,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.1,4.8
joint pain,Arthritis,heart disease,adult,mild,pharmaceutical,Ibuprofen,"Boswellia, Devil’s Claw",4.5,3.7
insomnia,Sleep Disorder,asthma,child,moderate,herbal,Melatonin,"Magnesium, Passionflower",4.7,4.8
cough,Common Cold,allergies,adult,severe,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.8,3.3
nausea,Gastroenteritis,asthma,child,severe,no preference,Ondansetron,"Lemon Balm, Peppermint Oil",4.2,3.1
cough,Common Cold,hypertension,child,severe,herbal,Dextromethorphan,"Thyme Tea, Mulethi",3.8,4.1
fatigue,Chronic Fatigue Syndrome,obesity,adult,moderate,herbal,Vitamin B12,"Ashwagandha, Rhodiola",4.8,3.4
cough,Common Cold,hypertension,child,severe,herbal,Dextromethorphan,"Thyme Tea, Honey & Ginger",5.0,3.4
skin rash,Allergic Reaction,diabetes,senior,moderate,no preference,Antihistamine,"Aloe Vera, Oatmeal",3.6,4.3
joint pain,Arthritis,hypertension,adult,severe,herbal,Ibuprofen,"Boswellia, Turmeric",4.7,3.7
fever,Viral Infection,asthma,senior,severe,herbal,Ibuprofen,"Elderberry, Giloy",4.0,4.6
headache,Migraine,diabetes,child,mild,no preference,Paracetamol,"Butterbur, Feverfew",4.7,4.2
shortness of breath,Asthma,allergies,adult,severe,pharmaceutical,Albuterol,"Deep Breathing, Yoga",5.0,3.5
muscle pain,Fibromyalgia,allergies,adult,severe,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.2,4.0
fever,Viral Infection,hypertension,adult,mild,no preference,Ibuprofen,"Elderberry, Giloy",4.5,4.3
fatigue,Chronic Fatigue Syndrome,allergies,child,severe,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",3.6,3.8
stomach pain,Gastritis,asthma,adult,moderate,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",4.8,4.9
stomach pain,Gastritis,diabetes,adult,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",3.7,4.6
cough,Common Cold,obesity,adult,severe,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.0,4.7
insomnia,Sleep Disorder,hypertension,senior,severe,no preference,Melatonin,"Magnesium, Passionflower",3.9,4.0
fatigue,Chronic Fatigue Syndrome,obesity,senior,severe,herbal,Vitamin B12,"Ginseng, Rhodiola",3.6,3.8
anxiety,Generalized Anxiety Disorder,hypertension,senior,mild,herbal,Alprazolam,"Chamomile, Valerian Root",4.0,3.8
stomach pain,Gastritis,allergies,adult,severe,no preference,Omeprazole,"Probiotics, Chamomile",4.0,3.9
insomnia,Sleep Disorder,obesity,child,severe,no preference,Melatonin,"Passionflower, Magnesium",4.9,3.8
joint pain,Arthritis,asthma,senior,moderate,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",4.4,3.0
skin rash,Allergic Reaction,diabetes,child,mild,no preference,Antihistamine,"Oatmeal, Calendula",3.7,3.7
fever,Viral Infection,hypertension,child,severe,no preference,Ibuprofen,"Elderberry, Tulsi Tea",5.0,4.1
sore throat,Strep Throat,heart disease,child,mild,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.7,3.8
insomnia,Sleep Disorder,obesity,senior,moderate,herbal,Melatonin,"Lavender Oil, Passionflower",3.6,4.7
