Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"palpitations, numbness, loss of taste","chronic liver disease, asthma",adult,moderate,Tension Headache
"difficulty speaking, muscle pain",chronic kidney disease,teenager,moderate,Peptic Ulcer
"abdominal pain, loss of taste, heat intolerance, irregular heartbeat","family history of cancer, sedentary lifestyle, family history of heart disease",adult,moderate,Lymphoma
"involuntary movements, nail changes, acid reflux, hallucinations","recent infection, stress, night shift worker, alcohol use",adult,mild,PCOS
low energy,"pregnancy, allergies",adult,severe,Dengue Fever
"fainting, difficulty swallowing, neck stiffness",,senior,moderate,Anemia
"hallucinations, acid reflux, involuntary movements, nail changes","recent infection, stress, night shift worker",teenager,mild,PCOS
"fever, fainting, weight loss, cough, abdominal pain",,child,moderate,Diabetes Type 2
"difficulty urinating, skin discoloration, hallucinations","occupational hazard, malnutrition",teenager,severe,Alzheimer’s Disease
"rash, numbness, low energy, hand tremors, increased thirst",high cholesterol,adult,moderate,Chickenpox
"hand tremors, mood swings, fainting, fever, wheezing",occupational hazard,adult,mild,Bipolar Disorder
"slow healing, nail changes, loss of balance, irritability, acid reflux, involuntary movements","chronic kidney disease, autoimmune disorder, night shift worker, frequent travel",senior,mild,Measles
"frequent belching, persistent sneezing",,adult,mild,Arthritis
"sensitivity to light, lump or swelling, tingling sensation","stress, rural living, allergies",adult,mild,Breast Cancer
"fatigue, loss of appetite, hoarseness",chronic kidney disease,adult,moderate,Iron Deficiency
"hallucinations, nosebleeds, cough, hand tremors","alcohol use, frequent travel, smoker, exposure to chemicals",senior,moderate,Insomnia
"easy bruising, vomiting, nausea","high cholesterol, frequent travel, occupational hazard",adult,moderate,Coronary Artery Disease
"swelling in legs, easy bruising, urinary incontinence, insomnia","malnutrition, chronic liver disease",teenager,mild,Gallstones
"nausea, difficulty sleeping",chronic liver disease,adult,severe,Multiple Sclerosis
"dry eyes, difficulty breathing at night, joint pain, loss of balance, low energy",allergies,adult,moderate,Dengue Fever
"persistent sneezing, difficulty swallowing, hiccups, swollen lymph nodes, frequent headaches",hypertension,adult,moderate,Arthritis
"frequent infections, anxiety, frequent belching, insomnia, memory loss","long-term medication use, vitamin D deficiency",senior,severe,Skin Cancer
loss of balance,night shift worker,adult,mild,Crohn’s Disease
"dry eyes, dry mouth",,senior,moderate,Lung Cancer
loss of appetite,"vitamin D deficiency, family history of cancer",adult,mild,Anxiety Disorder
"difficulty swallowing, hiccups, persistent sneezing, frequent belching, frequent headaches, swollen lymph nodes","recent infection, thyroid disorder, hypertension",teenager,moderate,Arthritis
"swelling in legs, neck stiffness","smoker, malnutrition",senior,moderate,Tetanus
"rash, fainting","sleep apnea, smoker",adult,moderate,Schizophrenia
vomiting,"asthma, allergies",adult,moderate,Down Syndrome
"nosebleeds, difficulty sleeping, weight loss","vitamin D deficiency, hypertension",teenager,moderate,Hepatitis C
"dry eyes, cold hands and feet, dry mouth",long-term medication use,adult,moderate,Lung Cancer
"swollen lymph nodes, persistent sneezing, frequent belching","thyroid disorder, hypertension, recent infection",child,mild,Arthritis
"unsteady gait, constipation, muscle pain","stress, occupational hazard, night shift worker",adult,moderate,Arrhythmia
"muscle stiffness, frequent belching, mood swings, frequent headaches",,teenager,mild,Asthma
"loss of taste, lightheadedness","occupational hazard, exposure to chemicals, chronic kidney disease",adult,mild,Parkinson’s Disease
"mood swings, voice tremor, difficulty swallowing, unsteady gait",rural living,teenager,moderate,Addison’s Disease
"loss of appetite, leg cramps, palpitations, vomiting, confusion, difficulty concentrating, urinary incontinence",,senior,mild,Diabetes Type 1
cold hands and feet,,senior,mild,Rheumatoid Arthritis
"hair loss, irregular heartbeat",,adult,mild,Epilepsy
painful urination,sleep apnea,senior,moderate,Migraine
"difficulty urinating, difficulty speaking, fever, joint pain",,adult,severe,Glaucoma
muscle stiffness,,teenager,mild,Anxiety Disorder
"frequent belching, confusion","exposure to chemicals, pregnancy",adult,severe,COPD
"weight loss, loss of appetite, sore throat, painful urination","obesity, chronic kidney disease, rural living",adult,moderate,Bronchitis
persistent hiccups,,child,severe,Gastroenteritis
"sensitivity to light, lightheadedness, trouble walking, tingling sensation, lump or swelling","chronic kidney disease, allergies, stress, rural living",child,moderate,Breast Cancer
"constipation, hearing loss",,teenager,severe,Sleep Apnea
"heat intolerance, loss of taste, difficulty urinating, irregular heartbeat","family history of heart disease, sedentary lifestyle",teenager,severe,Lymphoma
"hoarseness, numbness",,adult,mild,Transient Ischemic Attack
"insomnia, anxiety, memory loss, difficulty urinating, frequent belching, frequent infections",long-term medication use,adult,mild,Skin Cancer
